"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.153437818E0,-7.420500517E-1,-8.700000495E-2,7.354050159E0
7.173437818E0,-2.730000019E-1,3.000000119E-1,5.700000286E0
7.193437818E0,5.895000324E-2,8.629500270E-1,4.266000271E0
7.213437818E0,1.800000109E-2,1.308000088E0,3.688950062E0
7.233437818E0,-5.295000225E-2,1.549950123E0,3.052050114E0
7.253437818E0,1.090950012E0,1.774950027E0,1.680000067E0
7.273437818E0,2.275950193E0,1.890000105E0,2.359500080E-1
7.293437818E0,2.275950193E0,1.890000105E0,2.359500080E-1
7.313437818E0,2.250000000E0,2.017050028E0,-5.085000038E0
7.333437818E0,1.086000085E0,1.234050035E0,-7.246950150E0
7.353437818E0,-6.870000362E-1,9.705000371E-2,-7.705050468E0
7.373437818E0,-1.144050002E0,-4.960500300E-1,-7.420050144E0
7.393437818E0,-1.480500102E-1,-4.099500179E-1,-8.974050522E0
7.413437818E0,1.357050061E0,5.470499992E-1,-1.343400097E1
7.433437818E0,3.478050232E0,2.299950123E0,-1.967400169E1
7.453437818E0,6.736050129E0,5.560950279E0,-2.547495079E1
7.473437818E0,8.851050377E0,5.503050327E0,-2.818800163E1
7.493437818E0,7.471950531E0,6.669000149E0,-2.672700119E1
7.513437818E0,7.314000130E0,5.860050201E0,-2.177100182E1
7.533437818E0,5.875050068E0,4.948050022E0,-1.619700050E1
7.553437818E0,3.997050285E0,4.620000362E0,-1.181595039E1
7.573437818E0,2.269050121E0,4.099950314E0,-9.366000175E0
7.593437818E0,7.030500174E-1,3.193050146E0,-7.963050365E0
7.613437818E0,-5.869500041E-1,2.137050152E0,-6.364050388E0
7.633437818E0,-1.875000119E0,1.311000109E0,-4.780950069E0
7.653437818E0,-2.176050186E0,9.300000668E-1,-3.139050245E0
7.673437818E0,-3.208050251E0,1.432950020E0,1.407000065E0
7.693437818E0,-3.208050251E0,1.432950020E0,1.407000065E0
7.713437818E0,-3.541050196E0,2.331000090E0,1.588950038E0
7.733437818E0,-3.244050264E0,2.773950100E0,3.523050070E0
7.753437818E0,-4.293000221E0,2.752050161E0,5.680950165E0
7.773437818E0,-4.813050270E0,2.938950062E0,6.736950397E0
7.793437818E0,-4.197000027E0,3.054000139E0,6.981000423E0
7.813437818E0,-4.219050407E0,3.030000210E0,8.608950615E0
7.833437818E0,-4.444050312E0,3.231000185E0,9.922950745E0
7.853437818E0,-4.258950233E0,3.352950096E0,8.334000587E0
7.873437818E0,-3.454950094E0,3.340950251E0,7.062000275E0
7.893437818E0,-2.682000160E0,2.944050074E0,7.857000351E0
7.913437818E0,-2.394000053E0,2.311050177E0,8.793000221E0
7.933437818E0,-2.773050070E0,1.617000103E0,9.484950066E0
7.953437818E0,-2.959050179E0,1.284000039E0,1.041705036E1
7.973437818E0,-2.382000208E0,1.375050068E0,9.157050133E0
7.993437818E0,-1.189950109E0,1.213050008E0,7.600950241E0
8.013437818E0,-4.069500268E-1,8.959500194E-1,8.322000504E0
8.033437818E0,-2.160000056E-1,5.920500159E-1,1.038105011E1
8.053437818E0,-3.105000220E-2,2.070000172E-1,1.062495041E1
8.073437818E0,-1.099500060E-1,3.649500310E-1,1.055805016E1
8.093437818E0,2.611050129E0,4.200000167E-1,9.376950264E0
8.113437818E0,3.088050127E0,-6.705000252E-2,9.817950249E0
8.133437818E0,2.202000141E0,-1.900500059E-1,1.178595066E1
8.153437818E0,1.888050079E0,1.369500011E-1,1.225305080E1
8.173437818E0,3.205050230E0,2.359500080E-1,1.117605019E1
