"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.343753445E0,-2.069374919E-1,-1.055037498E0,-1.416250020E-1
7.363753445E0,-6.517499685E-2,-1.334849954E0,-1.111000031E-1
7.383753445E0,-5.783249736E-1,-1.239562511E0,-1.391499937E-1
7.403753445E0,-6.748499870E-1,-1.204087496E0,-1.660999954E-1
7.423753445E0,-4.010874927E-1,-1.272562504E0,-6.833750010E-2
7.443753445E0,-2.264624983E-1,-1.327562451E0,-2.337499987E-3
7.463753445E0,-2.252250016E-1,-1.366612434E0,1.237499993E-3
7.483753445E0,-3.937999904E-1,-1.482662439E0,-1.073874980E-1
7.503753445E0,-8.556625247E-1,-1.409374952E0,-2.491499931E-1
7.523753445E0,-1.038949966E0,-1.282325029E0,-2.662000060E-1
7.543753445E0,-6.369000077E-1,-1.303087473E0,-1.355749965E-1
7.563753445E0,1.539999992E-2,-1.577950001E0,-1.457499992E-2
7.583753445E0,-1.469874978E-1,-1.706237435E0,-7.809999585E-2
